,primary_performance,stepwise_performance,num_steps,rotation_error,result,most_likely_object,primary_target_object,stepwise_target_object,highest_evidence,time,symmetry_evidence,monty_steps,monty_matching_steps,individual_ts_performance,individual_ts_reached_at_step,primary_target_position,primary_target_rotation_euler,most_likely_rotation,num_possible_matches,detected_location,detected_rotation,detected_scale,location_rel_body,detected_path,individual_ts_rotation_error,mean_objects_per_graph,mean_graphs_per_object,TFNP,possible_match_sources,most_likely_location,episode_avg_prediction_error,goal_states_attempted,goal_state_achieved,episode_seed,primary_target_rotation_quat,primary_target_scale,lm_id
LM_0,no_match,no_match,917,,capture_001,no_observations_yet,capture_001,no_label,0,0.0,0,1000,0,time_out,,[0 0 0],[0 0 0],[0. 0. 0.],0,"[None, None, None]","[None, None, None]",,[0.03013008 0.1272656  0.46198654],,,,,unknown_object_not_matched_(TN),,"[0, 0, 0]",,0,0.0,1060955053,[0. 0. 0. 1.],1.0,LM_0
LM_0,,,929,,capture_002,no_observations_yet,capture_002,no_label,0,0.0,0,1000,0,time_out,,[0 0 0],[0 0 0],[0. 0. 0.],1,"[None, None, None]","[None, None, None]",,[0.02887727 0.13140741 0.43049428],,,1.0,1.0,unknown_object_in_possible_matches_(FP),capture_001,"[0, 0, 0]",,0,0.0,1260428609,[0. 0. 0. 1.],1.0,LM_0
LM_0,,,875,,capture_003,no_observations_yet,capture_003,no_label,0,0.0,0,1000,0,time_out,,[0 0 0],[0 0 0],[0. 0. 0.],2,"[None, None, None]","[None, None, None]",,[6.95787404e-02 3.22818471e-05 4.39709067e-01],,,1.0,1.0,unknown_object_in_possible_matches_(FP),capture_001-capture_002,"[0, 0, 0]",,0,0.0,3997959863,[0. 0. 0. 1.],1.0,LM_0
LM_0,,,890,,capture_004,no_observations_yet,capture_004,no_label,0,0.0,0,1000,0,time_out,,[0 0 0],[0 0 0],[0. 0. 0.],3,"[None, None, None]","[None, None, None]",,[0.1003774  0.01591277 0.44962174],,,1.0,1.0,unknown_object_in_possible_matches_(FP),capture_001-capture_002-capture_003,"[0, 0, 0]",,0,0.0,99937259,[0. 0. 0. 1.],1.0,LM_0
LM_0,,,890,,capture_005,no_observations_yet,capture_005,no_label,0,0.0,0,1000,0,time_out,,[0 0 0],[0 0 0],[0. 0. 0.],4,"[None, None, None]","[None, None, None]",,[0.06882792 0.10493333 0.46207109],,,1.0,1.0,unknown_object_in_possible_matches_(FP),capture_001-capture_002-capture_003-capture_004,"[0, 0, 0]",,0,0.0,560786102,[0. 0. 0. 1.],1.0,LM_0
LM_0,,,947,,capture_006,no_observations_yet,capture_006,no_label,0,0.0,0,1000,0,time_out,,[0 0 0],[0 0 0],[0. 0. 0.],5,"[None, None, None]","[None, None, None]",,[0.03649366 0.02994355 0.50224   ],,,1.0,1.0,unknown_object_in_possible_matches_(FP),capture_001-capture_002-capture_003-capture_004-capture_005,"[0, 0, 0]",,0,0.0,1953320932,[0. 0. 0. 1.],1.0,LM_0
LM_0,,,986,,capture_007,no_observations_yet,capture_007,no_label,0,0.0,0,1000,0,time_out,,[0 0 0],[0 0 0],[0. 0. 0.],6,"[None, None, None]","[None, None, None]",,[0.00564325 0.09131439 0.43024257],,,1.0,1.0,unknown_object_in_possible_matches_(FP),capture_001-capture_002-capture_003-capture_004-capture_005-capture_006,"[0, 0, 0]",,0,0.0,2492039860,[0. 0. 0. 1.],1.0,LM_0
